qz,qxy,intensity
1.99031,0.580357,83.716
1.99031,0.589286,83.716
1.99031,0.598214,83.428
1.99031,0.607143,84.026
1.99031,0.616071,83.738
1.99031,0.625,84.738
1.99031,0.633929,85.45
1.99031,0.642857,86.39
1.99031,0.651786,86.917
1.99031,0.660714,84.803
1.99031,0.669643,84.803
1.99031,0.678571,86.999
1.99031,0.6875,87.597
1.99031,0.696429,88.907
1.99031,0.705357,90.619
1.99031,0.714286,90.701
1.99031,0.723214,91.473
1.99031,0.732143,92.185
1.99031,0.741071,91.609
1.99031,0.75,90.908
1.99031,0.758929,92.392
1.99031,0.767857,92.517
1.99031,0.776786,93.588
1.99031,0.785714,92.947
1.99031,0.794643,92.73
1.99031,0.803571,92.442
1.99031,0.8125,92.752
1.99031,0.821429,92.176
1.99031,0.830357,91.66
1.99031,0.839286,91.671
1.99031,0.848214,91.981
1.99031,0.857143,92.579
1.99031,0.866071,92.28
1.99031,0.875,91.579
1.99031,0.883929,91.715
1.99031,0.892857,90.438
1.99031,0.901786,89.025
1.99031,0.910714,89.014
1.99031,0.919643,88.634
1.99031,0.928571,87.819
1.99031,0.9375,87.118
1.99031,0.946429,85.542
1.99031,0.955357,84.667
1.99031,0.964286,82.379
1.99031,0.973214,82.792
1.99031,0.982143,82.803
1.99031,0.991071,79.836
1.99031,1,76.423
1.99031,1.00893,76.423
1.99031,1.01786,78.847
1.99031,1.02679,76.146
1.99031,1.03571,74.146
1.99031,1.04464,77.146
1.99031,1.05357,74.733
1.99031,1.0625,74.38
1.99031,1.07143,73.266
1.99031,1.08036,71.451
1.99031,1.08929,73.098
1.99031,1.09821,69.984
1.99031,1.10714,66.756
1.99031,1.11607,65.517
1.99031,1.125,65.175
1.99031,1.13393,63.061
1.99031,1.14286,60.947
1.99031,1.15179,60.719
1.99031,1.16071,58.779
1.99031,1.16964,57.551
1.99031,1.17857,58.551
1.99031,1.1875,56.91
1.99031,1.19643,57.551
1.99031,1.20536,57.078
1.99031,1.21429,57.078
1.99031,1.22321,57.078
1.99031,1.23214,57.078
1.99031,1.24107,57.078
1.99031,1.25,57.078
1.99031,1.25893,57.437
1.99031,1.26786,57.323
1.99031,1.27679,57.323
1.99031,1.28571,57.323
1.99031,1.29464,57.323
1.99031,1.30357,57.323
1.99031,1.3125,57.323
1.99031,1.32143,57.323
1.99031,1.33036,57.323
1.99031,1.33929,57.323
1.99031,1.34821,57.323
1.99031,1.35714,57.323
1.99031,1.36607,57.323
1.99031,1.375,57.323
1.99031,1.38393,57.323
1.99031,1.39286,57.323
1.99031,1.40179,57.323
1.99031,1.41071,57.323
1.99031,1.41964,57.323
1.99031,1.42857,57.323
1.99031,1.4375,57.323
1.99031,1.44643,57.323
1.99031,1.45536,57.323
1.99031,1.46429,57.323
1.99031,1.47321,57.323
1.99031,1.48214,57.323
1.99031,1.49107,57.323
1.99031,1.5,57.323
1.99031,1.50893,57.323
1.99031,1.51786,57.323
1.98063,0,75.699
1.98063,0.00892857,56.796
1.98063,0.0178571,57.79
1.98063,0.0267857,56.785
1.98063,0.0357143,57.247
1.98063,0.0446429,57.247
1.98063,0.0535714,57.247
1.98063,0.0625,57.247
1.98063,0.0714286,57.247
1.98063,0.0803571,57.247
1.98063,0.0892857,57.247
1.98063,0.0982143,57.247
1.98063,0.107143,57.247
1.98063,0.116071,57.247
1.98063,0.125,57.247
1.98063,0.133929,57.247
1.98063,0.142857,57.247
