experiment_id,map_id,geometry,qz_units,qxy_units,qz,qxy,intensity
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.383929,86.071
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.392857,85.613
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.401786,83.233
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.410714,82.217
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.419643,82.092
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.428571,82.684
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.4375,83.097
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.446429,83.456
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.455357,82.869
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.464286,83.168
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.473214,83.869
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.482143,83.869
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.491071,83.869
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.5,83.869
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.508929,83.641
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.517857,83.94
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.526786,83.94
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.535714,83.94
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.544643,84.652
PNDI2ODT2_Tang2022_CB_35C_65nm_spincoat,2d_map,qz_qxy,1/nm,1/nm,2,0.553571,84.951
